Date,Open,High,Low,Close,Adj Close,Volume
2019-12-02,314.589996,314.660004,311.170013,311.640015,306.951691,75767800
2019-12-03,308.649994,309.640015,307.130005,309.549988,304.893066,73941700
2019-12-04,310.700012,312.119995,310.320007,311.459991,306.774323,49080000
2019-12-05,312.230011,312.250000,310.579987,312.019989,307.325897,40709000
2019-12-06,314.119995,315.309998,314.109985,314.869995,310.133057,48927000
2019-12-09,314.440002,315.179993,313.799988,313.880005,309.157959,34838500
2019-12-10,313.820007,314.549988,312.809998,313.529999,308.813232,52649800
2019-12-11,314.029999,314.700012,313.440002,314.420013,309.689850,53429100
2019-12-12,314.429993,317.989990,314.170013,317.130005,312.359070,96389600
2019-12-13,316.869995,318.670013,316.019989,317.320007,312.546204,81503900
2019-12-16,319.220001,320.149994,317.250000,319.500000,314.693390,82749700
2019-12-17,319.920013,320.250000,319.480011,319.570007,314.762360,61097700
2019-12-18,320.000000,320.250000,319.529999,319.589996,314.782043,48133000
2019-12-19,319.799988,320.980011,319.519989,320.899994,316.072327,85310500
2019-12-20,320.459991,321.970001,319.390015,320.730011,317.458038,147142100
2019-12-23,321.589996,321.649994,321.059998,321.220001,317.943054,52990000
2019-12-24,321.470001,321.519989,320.899994,321.230011,317.952972,20270000
2019-12-26,321.649994,322.950012,321.640015,322.940002,319.645508,30911200
2019-12-27,323.739990,323.799988,322.279999,322.859985,319.566284,42528800
2019-12-30,322.950012,323.100006,320.549988,321.079987,317.804443,49729100
2019-12-31,320.529999,322.130005,320.149994,321.859985,318.576508,57077300
2020-01-02,323.540009,324.890015,322.529999,324.869995,321.555786,59151200
2020-01-03,321.160004,323.640015,321.100006,322.410004,319.120911,77709700
2020-01-06,320.489990,323.730011,320.359985,323.640015,320.338379,55653900
2020-01-07,323.019989,323.540009,322.239990,322.730011,319.437653,40496400
2020-01-08,322.940002,325.779999,322.670013,324.450012,321.140106,68296000
2020-01-09,326.160004,326.730011,325.519989,326.649994,323.317627,48473300
2020-01-10,327.290009,327.459991,325.200012,325.709991,322.387207,53029300
2020-01-13,326.390015,327.959991,325.920013,327.950012,324.604401,47086800
2020-01-14,327.470001,328.619995,326.839996,327.450012,324.109497,62832800
2020-01-15,327.350006,329.019989,327.260010,328.190002,324.841919,72056600
2020-01-16,329.700012,330.920013,329.450012,330.920013,327.544098,54050300
2020-01-17,331.700012,332.179993,330.850006,331.950012,328.563599,95846000
2020-01-21,330.899994,332.179993,330.820007,331.299988,327.920227,77742400
2020-01-22,332.239990,332.950012,331.170013,331.339996,327.959808,48914900
2020-01-23,330.630005,332.170013,329.410004,331.720001,328.335938,51963000
2020-01-24,332.440002,332.529999,327.359985,328.769989,325.416016,87578400
2020-01-27,323.029999,325.119995,322.660004,323.500000,320.199799,83877900
2020-01-28,325.059998,327.850006,323.600006,326.890015,323.555206,63834000
2020-01-29,328.380005,328.630005,326.399994,326.619995,323.287933,53888900
2020-01-30,324.359985,327.910004,323.540009,327.679993,324.337128,75491800
